"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/01/2023","1,105.53","1,106.89","1,108.81","1,104.98","14.42K","0.16%"
"17/01/2023","1,103.73","1,077.48","1,103.73","1,077.48","207.94K","2.60%"
"16/01/2023","1,075.71","1,072.44","1,076.97","1,066.78","126.80K","0.55%"
"13/01/2023","1,069.86","1,071.91","1,077.45","1,063.68","149.05K","0.34%"
"12/01/2023","1,066.24","1,068.47","1,072.81","1,059.52","113.84K","0.10%"
"11/01/2023","1,065.22","1,065.69","1,076.22","1,063.96","161.51K","0.44%"
"10/01/2023","1,060.53","1,062.22","1,066.08","1,052.09","126.76K","-0.06%"
"09/01/2023","1,061.14","1,065.24","1,068.77","1,056.64","126.31K","0.35%"
"06/01/2023","1,057.40","1,060.14","1,075.33","1,053.29","192.69K","-0.42%"
"05/01/2023","1,061.90","1,052.32","1,065.99","1,051.60","164.27K","1.12%"
"04/01/2023","1,050.15","1,051.66","1,059.01","1,046.61","172.22K","0.28%"
"03/01/2023","1,047.25","1,010.52","1,047.25","1,010.03","159.60K","4.18%"
"30/12/2022","1,005.19","1,016.71","1,017.45","1,005.19","95.62K","-0.31%"
"29/12/2022","1,008.30","1,013.95","1,022.15","1,008.30","121.03K","-0.56%"
"28/12/2022","1,013.95","1,009.19","1,023.24","997.12","123.26K","0.65%"
"27/12/2022","1,007.36","988.87","1,015.01","985.67","153.66K","1.98%"
"26/12/2022","987.77","1,032.42","1,033.17","987.77","175.23K","-4.48%"
"23/12/2022","1,034.13","1,037.91","1,041.37","1,022.51","129.85K","-0.41%"
"22/12/2022","1,038.34","1,033.72","1,048.84","1,031.29","188.50K","0.51%"
"21/12/2022","1,033.10","1,041.05","1,041.65","1,011.90","212.81K","0.32%"
"20/12/2022","1,029.79","1,048.17","1,049.39","1,015.66","283.48K","-1.95%"
"19/12/2022","1,050.22","1,063.72","1,081.55","1,050.22","258.39K","-1.30%"
